CustomerKey,MaritalStatus,YearlyIncome,TotalChildren,ChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,Age,BikeBuyer
11000,M,90000,2,0,1,0,48,1
11001,S,60000,3,3,0,1,48,1
11002,M,60000,3,3,1,1,48,1
11003,S,70000,0,0,0,1,46,1
11004,S,80000,5,5,1,4,45,1
11005,S,70000,0,0,1,1,48,1
11006,S,70000,0,0,1,1,48,1
11007,M,60000,3,3,1,2,49,1
11008,S,60000,4,4,1,3,49,1
11009,S,70000,0,0,0,1,50,1
11010,S,70000,0,0,0,1,50,1
11011,M,60000,4,4,1,4,50,1
11012,M,100000,2,0,1,2,46,0
11013,M,100000,2,0,1,3,45,0
11014,S,100000,3,0,0,3,45,0
11015,S,30000,0,0,0,1,35,1
11016,M,30000,0,0,1,1,34,1
11017,S,20000,4,0,1,2,69,1
11018,S,30000,2,0,1,2,69,1
11019,S,40000,0,0,0,2,36,0
11020,S,40000,0,0,0,2,35,1
11021,S,40000,0,0,0,1,35,1
11022,M,40000,0,0,1,1,35,1
11023,M,40000,0,0,1,1,35,0
11024,M,60000,0,0,1,2,35,0
11025,M,10000,2,1,1,2,68,1
11026,S,30000,2,0,0,2,68,1
11027,M,30000,2,0,1,2,67,1
11028,M,30000,2,0,1,2,68,1
11029,M,30000,2,0,1,2,67,1
11030,M,10000,2,1,1,2,67,1
11031,M,20000,4,0,1,2,66,1
11032,M,20000,4,0,1,2,66,1
11033,M,20000,4,0,1,2,66,1
11034,M,20000,4,0,1,2,66,1
11035,M,10000,2,1,1,2,66,1
11036,M,60000,0,0,1,2,35,1
11037,S,40000,0,0,0,2,36,1
11038,M,10000,2,1,1,2,66,1
11039,M,30000,3,0,1,2,65,1
11040,M,30000,0,0,1,2,36,1
11041,M,60000,0,0,1,2,36,1
11042,M,70000,0,0,1,2,36,1
11043,M,60000,0,0,1,2,38,0
11044,M,20000,2,1,1,2,64,1
11045,S,30000,3,0,0,2,63,0
11046,M,30000,3,0,1,2,64,1
11047,M,30000,3,0,0,2,64,1
11048,M,30000,3,0,1,2,63,1
11049,S,40000,0,0,1,2,33,0
11050,M,30000,3,0,1,2,62,1
11051,S,30000,3,0,0,2,62,0
11052,S,40000,2,0,0,2,62,1
11053,M,60000,0,0,0,2,33,1
11054,M,40000,2,0,1,2,62,1
11055,M,40000,2,0,1,2,62,1
11056,M,40000,3,0,1,2,61,1
11057,M,70000,2,0,1,2,60,1
11058,M,80000,2,0,1,2,59,1
11059,S,80000,2,0,1,2,60,0
11060,M,80000,2,0,1,2,60,1
11061,M,80000,2,0,1,2,60,1
11062,M,40000,0,0,1,2,38,1
11063,S,40000,0,0,1,2,39,1
11064,M,40000,0,0,1,2,38,1
11065,M,60000,0,0,0,2,40,0
11066,M,70000,0,0,1,2,40,0
11067,S,60000,0,0,1,2,37,0
11068,S,80000,2,0,1,2,58,0
11069,S,80000,2,0,0,2,58,1
11070,M,80000,2,0,1,2,59,1
11071,S,80000,2,0,1,2,58,0
11072,S,80000,2,0,0,2,59,1
11073,S,70000,2,0,1,2,57,0
11074,S,70000,2,0,1,2,57,0
11075,S,80000,2,0,1,2,56,1
11076,S,80000,2,0,1,2,56,1
11077,S,80000,2,0,0,2,56,1
11078,S,40000,0,0,0,2,40,0
11079,S,160000,0,0,1,2,55,0
11080,M,170000,0,0,1,2,54,1
11081,M,120000,2,2,1,3,47,0
11082,S,130000,0,1,0,3,47,1
11083,M,130000,0,1,1,3,48,1
11084,S,80000,2,0,0,2,56,1
11085,S,60000,2,0,0,2,56,0
11086,M,70000,2,1,1,0,56,0
11087,M,70000,3,2,0,0,56,0
11088,M,80000,2,1,1,0,56,1
11089,S,80000,2,1,1,1,57,1
11090,S,90000,2,0,1,1,56,1
11091,M,90000,2,0,1,1,57,0
11092,M,90000,2,2,1,0,46,1
11093,M,100000,0,0,1,0,46,1
11094,S,70000,1,0,0,1,52,0
11095,S,70000,1,0,1,1,51,1
11096,M,60000,1,0,1,1,51,1
11097,M,60000,1,0,1,1,52,1
11098,S,60000,1,0,0,1,52,0
11099,M,60000,1,0,1,1,53,1
11100,S,60000,1,0,1,1,53,1
11101,S,70000,0,0,0,1,48,1
11102,S,80000,5,5,1,4,48,0
11103,S,70000,0,0,1,1,49,1
11104,M,70000,0,0,0,1,50,1
11105,S,70000,0,0,0,1,49,1
11106,S,70000,0,0,0,1,49,1
11107,M,90000,1,0,1,1,54,1
11108,S,70000,0,0,0,2,50,1
11109,S,70000,0,0,0,2,50,1
11110,M,60000,1,0,1,1,51,1
11111,M,60000,1,0,1,1,52,1
11112,M,60000,1,0,1,1,51,1
11113,M,70000,5,4,1,2,52,0
11114,S,70000,5,4,1,2,51,0
11115,M,70000,5,4,1,2,52,0
11116,M,70000,5,4,1,2,51,0
11117,M,70000,5,4,1,3,53,1
11118,S,80000,1,0,0,1,56,0
11119,S,30000,2,0,0,2,79,0
11120,S,40000,2,0,1,1,77,1
11121,M,70000,5,4,1,3,53,0
11122,M,70000,5,4,1,3,54,0
11123,M,70000,5,4,1,3,53,0
11124,S,80000,1,0,1,1,56,1
11125,S,70000,1,0,1,1,58,0
