OrderNo,Barcode,TrnType,TrnPrice,TrnQty,TaxPer,TaxValue,DiscAmount,DiscPer,MRP
1,>,Sale,2030,1,12.5,225.56,145,6.67,2175
1,8.9E+12,Return,489,1,4,18.81,0,0,489
1,8.26E+11,Return,594,1,4,22.85,0,0,594
2,9.7E+11,Return,80.5,2,4,3.1,23,12.5,92
2,8.9E+12,Return,699,1,4,26.88,0,0,699
3,8.26E+11,Sale,700,1,4,26.92,0,0,700
3,91208994246,Return,1490,1,12.5,165.56,0,0,1490
3,8.9E+12,Sale,80.5,2,4,3.1,23,12.5,92
4,8.9E+12,Sale,115.5,1,4,4.44,16.5,12.5,132
4,91208992013,Return,0,1,4,0,299,100,299
4,6.76E+11,Return,1699,1,4,65.35,0,0,1699
4,91209910627,Sale,349,1,4,13.42,0,0,349
5,6.4E+11,Return,99,3,4,3.81,30,9.17,109
5,91208500119,Return,87.5,1,4,3.37,12.5,12.5,100
5,8.9E+12,Return,2417.58,1,12.5,268.62,882.42,26.74,3300
5,9.7E+11,Return,350,1,12.5,38.89,25,6.67,375
5,91209178089,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
6,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
6,9.9E+11,Return,99,2,4,3.81,0,0,99
6,91206265249,Return,899,1,4,34.58,0,0,899
6,91206338387,Return,1099,1,4,42.27,0,0,1099
7,9.7E+11,Return,699,1,4,26.88,0,0,699
7,6.4E+11,Return,1172.5,1,12.5,130.28,83.75,6.67,1256.25
7,8.9E+12,Return,2030,1,12.5,225.56,145,6.67,2175
8,91208994246,Return,749,1,4,28.81,0,0,749
8,8.26E+11,Return,1490,1,12.5,165.56,0,0,1490
8,9.7E+11,Return,2190,1,12.5,243.33,0,0,2190
8,8.85E+11,Sale,979,1,4,37.65,0,0,979
8,8.9E+12,Sale,849,1,4,32.65,0,0,849
9,6.4E+11,Return,594,1,4,22.85,198,25,792
9,8.9E+12,Return,1575,1,4,60.58,225,12.5,1800
9,8.26E+11,Return,1260,1,4,48.46,180,12.5,1440
9,5E+11,Sale,-1000,-1,4,38.46,0,0,1000
9,3E+11,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
9,4E+11,Return,1090,1,12.5,121.11,0,0,1090
10,8.9E+12,Sale,-115.5,-1,4,4.44,-16.5,12.5,132
10,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
11,9.7E+11,Return,1199,1,4,46.12,0,0,1199
11,8.9E+12,Return,1263.74,1,12.5,140.42,461.26,26.74,1725
12,8.9E+12,Return,1393.18,1,12.5,154.8,349.82,20.07,1743
12,3.45E+11,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
12,9.1E+11,Sale,1393,1,12.5,154.78,0,0,1393
12,9.7E+11,Sale,629,1,4,24.19,0,0,629
12,91204510822,Sale,80.5,1,4,3.1,11.5,12.5,92
12,8.85E+12,Return,909.3,1,4,34.97,-0.3,-0.03,909
13,9.7E+11,Return,1119.3,1,4,43.05,-0.3,-0.03,1119
13,9.2E+11,Return,1259.3,1,4,48.43,-0.3,-0.02,1259
13,5E+11,Return,979.3,1,4,37.67,-0.3,-0.03,979
14,8.85E+11,Return,1049.3,1,4,40.36,-0.3,-0.03,1049
14,6.85E+11,Return,1049.3,1,4,40.36,-0.3,-0.03,1049
15,8.9E+12,Return,1049.3,1,4,40.36,-0.3,-0.03,1049
16,9.7E+11,Sale,1490,1,12.5,165.56,0,0,1490
16,8.85E+11,Return,999,1,4,38.42,0,0,999
17,9.7E+11,Sale,700,1,4,26.92,0,0,700
18,9.7E+11,Sale,849,1,4,32.65,0,0,849
18,91203816253,Return,2990,1,12.5,332.22,0,0,2990
18,6.77E+11,Sale,299,1,4,11.5,0,0,299
18,8.3E+11,Sale,449.5,1,4,17.29,179.5,28.54,629
19,91209034125,Return,399,1,4,15.35,0,0,399
19,5E+11,Return,849,1,4,32.65,0,0,849
19,8.9E+12,Return,115.5,1,4,4.44,16.5,12.5,132
20,91209034125,Return,1030.22,1,12.5,114.47,376.03,26.74,1406.25
20,9.7E+11,Sale,1199,1,4,46.12,0,0,1199
20,6.76E+11,Return,899,1,4,34.58,0,0,899
20,8.85E+11,Return,314.3,1,4,12.09,-0.3,-0.1,314
20,8.3E+11,Return,629.3,1,4,24.2,-0.3,-0.05,629
